Index,UTC,Time,Lon,Lat,,Position,Start Time,End Time,,Longitude,St.dev Lon,,Latitude,St.dev Lat
0,45:05.0,00:00.0,114.897477,4.97828967,,1,0,2,,,,,,
1,45:06.0,00:01.0,114.8974748,4.97829017,,2,3,5,,,,,,
2,45:07.0,00:02.0,114.8974728,4.9782905,,3,6,8,,,,,,
3,45:08.0,00:03.0,114.897471,4.978291,,4,8.3,10.3,,,,,,
4,45:09.0,00:04.0,114.897468,4.97829133,,5,11.45,13.45,,,,,,
5,45:10.0,00:05.0,114.8974652,4.97829167,,6,15.15,17.15,,,,,,
6,45:12.0,00:07.0,114.8974608,4.978292,,7,19,21,,,,,,
7,45:14.0,00:09.0,114.8974573,4.97829217,,8,21.5,23.5,,,,,,
8,45:15.0,00:10.0,114.8974552,4.97829067,,9,24.45,26.45,,,,,,
9,45:16.0,00:11.0,114.897453,4.97828917,,10,28,30,,,,,,
10,45:17.0,00:12.0,114.897451,4.978288,,,,,,,,,,
11,45:18.0,00:13.0,114.8974488,4.9782865,,,,,,,,,,
12,45:19.0,00:14.0,114.8974468,4.97828517,,,,,,,,,,
13,45:20.0,00:15.0,114.8974447,4.97828367,,,,,,,,,,
14,45:21.0,00:16.0,114.8974425,4.97828233,,,,,,,,,,
15,45:23.0,00:18.0,114.8974387,4.97828,,,,,,,,,,
16,45:25.0,00:20.0,114.8974358,4.97827883,,,,,,,,,,
17,45:26.0,00:21.0,114.8974348,4.9782785,,,,,,,,,,
18,45:27.0,00:22.0,114.8974337,4.97827817,,,,,,,,,,
19,45:29.0,00:24.0,114.8974318,4.978278,,,,,,,,,,
20,45:31.0,00:26.0,114.8974295,4.9782765,,,,,,,,,,
21,45:32.0,00:27.0,114.8974283,4.97827567,,,,,,,,,,
22,45:33.0,00:28.0,114.8974272,4.97827483,,,,,,,,,,
23,45:35.0,00:30.0,114.8974255,4.97827433,,,,,,,,,,
24,45:36.0,00:31.0,114.8974245,4.97827367,,,,,,,,,,
25,45:37.0,00:32.0,114.8974233,4.97827267,,,,,,,,,,
26,45:38.0,00:33.0,114.8974222,4.978272,,,,,,,,,,
27,45:40.0,00:35.0,114.8974198,4.97826983,,,,,,,,,,
28,45:41.0,00:36.0,114.8974187,4.97826867,,,,,,,,,,
29,45:42.0,00:37.0,114.8974177,4.97826833,,,,,,,,,,
30,45:43.0,00:38.0,114.897417,4.978268,,,,,,,,,,
31,45:44.0,00:39.0,114.8974163,4.97826767,,,,,,,,,,
32,45:45.0,00:40.0,114.8974157,4.978267,,,,,,,,,,
33,45:46.0,00:41.0,114.8974148,4.97826617,,,,,,,,,,
34,45:47.0,00:42.0,114.8974145,4.97826617,,,,,,,,,,
35,45:48.0,00:43.0,114.897414,4.978266,,,,,,,,,,
36,45:49.0,00:44.0,114.8974133,4.9782655,,,,,,,,,,
37,45:51.0,00:46.0,114.8974118,4.97826383,,,,,,,,,,
38,45:52.0,00:47.0,114.8974115,4.9782635,,,,,,,,,,
39,45:53.0,00:48.0,114.897412,4.97826333,,,,,,,,,,
40,45:54.0,00:49.0,114.8974123,4.97826283,,,,,,,,,,
41,45:55.0,00:50.0,114.8974122,4.978262,,,,,,,,,,
42,45:57.0,00:52.0,114.8974132,4.97826217,,,,,,,,,,
43,45:58.0,00:53.0,114.8974128,4.97826167,,,,,,,,,,
44,46:00.0,00:55.0,114.8974132,4.9782615,,,,,,,,,,
45,46:01.0,00:56.0,114.8974132,4.97826133,,,,,,,,,,
46,46:03.0,00:58.0,114.8974122,4.97826,,,,,,,,,,
47,46:04.0,00:59.0,114.8974115,4.97825917,,,,,,,,,,
48,46:06.0,01:01.0,114.8974105,4.97825833,,,,,,,,,,
49,46:07.0,01:02.0,114.89741,4.97825817,,,,,,,,,,
50,46:09.0,01:04.0,114.8974103,4.97825917,,,,,,,,,,
51,46:11.0,01:06.0,114.8974093,4.97825867,,,,,,,,,,
