Index,UTC,Time,Lon,Lat,,Position,Start Time,End Time,,Longitude,St.dev Lon,,Latitude,St.dev Lat
0,42:24.0,00:00.0,114.8973712,4.97836067,,1,0,1.59,,,,,,
1,42:25.0,00:01.0,114.897371,4.97835933,,2,3.59,6,,,,,,
2,42:26.0,00:02.0,114.897371,4.97835783,,3,8,10,,,,,,
3,42:28.0,00:04.0,114.8973703,4.97835583,,4,11.3,13.3,,,,,,
4,42:29.0,00:05.0,114.8973697,4.97835433,,5,16.41,18.4,,,,,,
5,42:30.0,00:06.0,114.89737,4.97835183,,6,20.3,22.3,,,,,,
6,42:32.0,00:08.0,114.8973708,4.9783475,,7,27.11,29.1,,,,,,
7,42:34.0,00:10.0,114.8973722,4.97834517,,8,30.4,32.4,,,,,,
8,42:36.0,00:12.0,114.8973732,4.97834283,,9,33.5,35.5,,,,,,
9,42:37.0,00:13.0,114.8973735,4.97834183,,10,37.15,39.14,,,,,,
10,42:38.0,00:14.0,114.8973733,4.97834067,,,,,,,,,,
11,42:40.0,00:16.0,114.897373,4.97833933,,,,,,,,,,
12,42:41.0,00:17.0,114.8973748,4.97833967,,,,,,,,,,
13,42:42.0,00:18.0,114.8973758,4.97834,,,,,,,,,,
14,42:43.0,00:19.0,114.8973765,4.9783395,,,,,,,,,,
15,42:44.0,00:20.0,114.8973768,4.97833833,,,,,,,,,,
16,42:46.0,00:22.0,114.8973795,4.97834,,,,,,,,,,
17,42:47.0,00:23.0,114.897381,4.97834017,,,,,,,,,,
18,42:48.0,00:24.0,114.8973817,4.9783395,,,,,,,,,,
19,42:49.0,00:25.0,114.8973812,4.9783375,,,,,,,,,,
20,42:50.0,00:26.0,114.8973808,4.97833467,,,,,,,,,,
21,42:52.0,00:28.0,114.8973833,4.97833233,,,,,,,,,,
22,42:53.0,00:29.0,114.8973847,4.97833283,,,,,,,,,,
23,42:54.0,00:30.0,114.8973855,4.97833167,,,,,,,,,,
24,42:55.0,00:31.0,114.897386,4.97833033,,,,,,,,,,
25,42:56.0,00:32.0,114.897387,4.9783295,,,,,,,,,,
26,42:58.0,00:34.0,114.8973887,4.97832833,,,,,,,,,,
27,42:59.0,00:35.0,114.8973893,4.9783275,,,,,,,,,,
28,43:00.0,00:36.0,114.8973898,4.978327,,,,,,,,,,
29,43:01.0,00:37.0,114.8973907,4.97832683,,,,,,,,,,
30,43:02.0,00:38.0,114.8973913,4.97832667,,,,,,,,,,
31,43:04.0,00:40.0,114.8973935,4.97832617,,,,,,,,,,
32,43:05.0,00:41.0,114.8973982,4.97832617,,,,,,,,,,
33,43:07.0,00:43.0,114.8974013,4.978325,,,,,,,,,,
34,43:08.0,00:44.0,114.8974028,4.9783255,,,,,,,,,,
35,43:10.0,00:46.0,114.8974047,4.97832617,,,,,,,,,,
36,43:11.0,00:47.0,114.8974055,4.97832633,,,,,,,,,,
37,43:12.0,00:48.0,114.897406,4.97832633,,,,,,,,,,
38,43:13.0,00:49.0,114.8974065,4.97832633,,,,,,,,,,
39,43:14.0,00:50.0,114.8974068,4.97832617,,,,,,,,,,
40,43:16.0,00:52.0,114.8974085,4.97832683,,,,,,,,,,
41,43:17.0,00:53.0,114.8974088,4.97832667,,,,,,,,,,
42,43:19.0,00:55.0,114.8974092,4.97832617,,,,,,,,,,
43,43:20.0,00:56.0,114.8974092,4.97832567,,,,,,,,,,
44,43:22.0,00:58.0,114.8974095,4.9783255,,,,,,,,,,
45,43:23.0,00:59.0,114.8974095,4.978325,,,,,,,,,,
46,43:25.0,01:01.0,114.8974092,4.9783245,,,,,,,,,,
47,43:26.0,01:02.0,114.8974088,4.97832433,,,,,,,,,,
48,43:28.0,01:04.0,114.897408,4.9783235,,,,,,,,,,
49,43:29.0,01:05.0,114.897407,4.9783225,,,,,,,,,,
50,43:31.0,01:07.0,114.8974065,4.97832233,,,,,,,,,,
51,43:32.0,01:08.0,114.8974063,4.97832217,,,,,,,,,,
52,43:34.0,01:10.0,114.8974057,4.97832167,,,,,,,,,,
53,43:35.0,01:11.0,114.8974052,4.97832133,,,,,,,,,,
54,43:36.0,01:12.0,114.8974052,4.97832167,,,,,,,,,,
55,43:37.0,01:13.0,114.8974045,4.97832083,,,,,,,,,,
56,43:38.0,01:14.0,114.8974038,4.97832017,,,,,,,,,,
57,43:40.0,01:16.0,114.8974025,4.9783185,,,,,,,,,,
58,43:41.0,01:17.0,114.8974017,4.97831767,,,,,,,,,,
59,43:43.0,01:19.0,114.8974,4.97831633,,,,,,,,,,
60,43:44.0,01:20.0,114.8973995,4.97831617,,,,,,,,,,
61,43:46.0,01:22.0,114.8973973,4.97831567,,,,,,,,,,
62,43:47.0,01:23.0,114.897396,4.9783155,,,,,,,,,,
63,43:49.0,01:25.0,114.8973942,4.978315,,,,,,,,,,
64,43:50.0,01:26.0,114.8973932,4.97831467,,,,,,,,,,
65,43:52.0,01:28.0,114.8973912,4.97831333,,,,,,,,,,
66,43:53.0,01:29.0,114.8973905,4.97831283,,,,,,,,,,
67,43:54.0,01:30.0,114.89739,4.9783125,,,,,,,,,,
68,43:55.0,01:31.0,114.8973895,4.97831217,,,,,,,,,,
69,43:56.0,01:32.0,114.8973892,4.97831183,,,,,,,,,,
70,43:58.0,01:34.0,114.8973887,4.97831183,,,,,,,,,,
71,43:59.0,01:35.0,114.8973887,4.978312,,,,,,,,,,
72,44:01.0,01:37.0,114.8973877,4.978311,,,,,,,,,,
73,44:02.0,01:38.0,114.8973873,4.9783105,,,,,,,,,,
74,44:04.0,01:40.0,114.8973863,4.978309,,,,,,,,,,
75,44:05.0,01:41.0,114.8973862,4.97830867,,,,,,,,,,
76,44:06.0,01:42.0,114.8973858,4.9783085,,,,,,,,,,
77,44:07.0,01:43.0,114.8973855,4.978308,,,,,,,,,,
78,44:08.0,01:44.0,114.897385,4.97830733,,,,,,,,,,
79,44:10.0,01:46.0,114.8973842,4.97830617,,,,,,,,,,
80,44:11.0,01:47.0,114.8973837,4.97830567,,,,,,,,,,
81,44:13.0,01:49.0,114.8973832,4.97830483,,,,,,,,,,
82,44:14.0,01:50.0,114.8973827,4.97830417,,,,,,,,,,
83,44:16.0,01:52.0,114.8973823,4.97830333,,,,,,,,,,
84,44:17.0,01:53.0,114.8973825,4.97830317,,,,,,,,,,
85,44:19.0,01:55.0,114.8973828,4.97830267,,,,,,,,,,
86,44:20.0,01:56.0,114.8973828,4.97830233,,,,,,,,,,
87,44:22.0,01:58.0,114.8973828,4.97830183,,,,,,,,,,
88,44:23.0,01:59.0,114.8973832,4.978302,,,,,,,,,,
89,44:25.0,02:01.0,114.8973835,4.97830183,,,,,,,,,,
90,44:26.0,02:02.0,114.8973835,4.9783015,,,,,,,,,,
91,44:28.0,02:04.0,114.8973833,4.978301,,,,,,,,,,
92,44:29.0,02:05.0,114.8973835,4.9783015,,,,,,,,,,
93,44:30.0,02:06.0,114.8973842,4.978301,,,,,,,,,,
94,44:31.0,02:07.0,114.8973852,4.97829833,,,,,,,,,,
