Index,UTC,Lon,Lat
0,05:59:48.000 06/07/2023,114.89742083,4.97838667
1,05:59:49.000 06/07/2023,114.89741967,4.97838450
2,05:59:50.000 06/07/2023,114.89741867,4.97838233
3,05:59:51.000 06/07/2023,114.89741817,4.97838050
4,05:59:52.000 06/07/2023,114.89741717,4.97837833
5,05:59:54.000 06/07/2023,114.89741433,4.97837417
6,05:59:56.000 06/07/2023,114.89741150,4.97837067
7,05:59:57.000 06/07/2023,114.89741050,4.97836900
8,05:59:58.000 06/07/2023,114.89740850,4.97836667
9,05:59:59.000 06/07/2023,114.89740700,4.97836450
10,06:00:00.000 06/07/2023,114.89740600,4.97836283
11,06:00:01.000 06/07/2023,114.89740383,4.97836100
12,06:00:02.000 06/07/2023,114.89740183,4.97835900
13,06:00:04.000 06/07/2023,114.89739883,4.97835517
14,06:00:05.000 06/07/2023,114.89739733,4.97835317
15,06:00:07.000 06/07/2023,114.89739517,4.97834950
16,06:00:08.000 06/07/2023,114.89739333,4.97834750
17,06:00:09.000 06/07/2023,114.89739283,4.97834567
18,06:00:10.000 06/07/2023,114.89739250,4.97834383
19,06:00:11.000 06/07/2023,114.89739183,4.97834217
20,06:00:12.000 06/07/2023,114.89739117,4.97834050
21,06:00:13.000 06/07/2023,114.89739000,4.97833867
22,06:00:14.000 06/07/2023,114.89738967,4.97833717
23,06:00:15.000 06/07/2023,114.89738867,4.97833517
24,06:00:16.000 06/07/2023,114.89738733,4.97833283
25,06:00:17.000 06/07/2023,114.89738617,4.97833067
26,06:00:18.000 06/07/2023,114.89738550,4.97832867
27,06:00:19.000 06/07/2023,114.89738433,4.97832683
28,06:00:20.000 06/07/2023,114.89738317,4.97832517
29,06:00:21.000 06/07/2023,114.89738233,4.97832383
30,06:00:22.000 06/07/2023,114.89738100,4.97832217
31,06:00:24.000 06/07/2023,114.89737917,4.97831933
32,06:00:25.000 06/07/2023,114.89737800,4.97831783
33,06:00:26.000 06/07/2023,114.89737717,4.97831617
34,06:00:28.000 06/07/2023,114.89737533,4.97831350
35,06:00:30.000 06/07/2023,114.89737300,4.97831050
36,06:00:31.000 06/07/2023,114.89737217,4.97830933
37,06:00:32.000 06/07/2023,114.89737117,4.97830800
38,06:00:33.000 06/07/2023,114.89737050,4.97830700
39,06:00:34.000 06/07/2023,114.89736900,4.97830550
40,06:00:36.000 06/07/2023,114.89736633,4.97830283
41,06:00:37.000 06/07/2023,114.89736550,4.97830200
42,06:00:38.000 06/07/2023,114.89736433,4.97830100
43,06:00:39.000 06/07/2023,114.89736317,4.97830000
44,06:00:41.000 06/07/2023,114.89736100,4.97829767
45,06:00:43.000 06/07/2023,114.89735833,4.97829550
46,06:00:44.000 06/07/2023,114.89735650,4.97829400
47,06:00:46.000 06/07/2023,114.89735350,4.97829100
48,06:00:47.000 06/07/2023,114.89735217,4.97828933
49,06:00:49.000 06/07/2023,114.89735000,4.97828650
50,06:00:50.000 06/07/2023,114.89734883,4.97828517
51,06:00:52.000 06/07/2023,114.89734617,4.97828250
52,06:00:53.000 06/07/2023,114.89734467,4.97828100
