00:00.0,114.8973707,4.97826883,,,Position,Start Time,End Time,Column Equivalent Start Time,Column Equivalent End Time,,,,,,,,,,,
00:01.0,114.8973703,4.97826833,,,1,0,1.59,2,83,,,,,,,,,,,
00:02.0,114.8973697,4.9782675,,,2,3.59,6,144,195,,,,,,,,,,,
00:03.0,114.8973688,4.97826633,,,3,8,10,259,328,,,,,,,,,,,
00:04.0,114.897368,4.9782655,,,4,11.3,13.3,381,461,,,,,,,,,,,
00:06.0,114.897367,4.97826383,,,5,16.41,18.4,562,636,,,,,,,,,,,
00:07.0,114.8973667,4.97826367,,,6,20.3,22.3,703,778,,,,,,,,,,,
00:08.0,114.897366,4.9782635,,,7,27.11,29.1,924,994,,,,,,,Longitude,St.dev Lon,,Latitude,St.dev Lat
00:09.0,114.8973653,4.97826333,,,8,30.4,32.4,1050,1119,,,,,,,114.8973701,3.56E-06,,4.97827639,4.37E-06
00:12.0,114.8973655,4.97826933,,,9,33.5,35.5,1163,1230,,,,,,,114.8976867,8.96E-06,,4.978141096,1.41E-05
00:14.0,114.8973653,4.9782735,,,10,37.15,39.14,1284,1354,,,,,,,114.8979603,7.59E-07,,4.978390626,4.36E-07
00:17.0,114.8973642,4.9782775,,,,,,,,,,,,,,114.8980979,7.31E-07,,4.978461663,3.80E-07
00:18.0,114.8973642,4.97827833,,,,,,,,,,,,,,114.8982914,5.22E-07,,4.978013919,6.73E-07
00:19.0,114.8973635,4.978279,,,,,,,,,,,,,,114.8979249,2.84E-07,,4.97727888,8.53E-07
00:20.0,114.8973635,4.97828017,,,,,,,,,,,,,,114.8974175,7.16E-07,,4.977262376,5.04E-07
00:21.0,114.8973637,4.97828083,,,,,,,,,,,,,,114.897319,3.81E-07,,4.977561647,2.12E-06
00:22.0,114.8973638,4.97828133,,,,,,,,,,,,,,114.8971728,1.53E-06,,4.977857922,4.24E-07
00:23.0,114.897364,4.9782815,,,,,,,,,,,,,,114.8972172,1.06E-05,,4.978318662,8.46E-06
00:24.0,114.8973642,4.97828133,,,,,,,,,,,,,,,,,,
00:25.0,114.8973643,4.978281,,,,,,,,,,,,,,,,,,
00:26.0,114.8973645,4.97828033,,,,,,,,,,,,,,,,,,
00:27.0,114.8973643,4.9782795,,,,,,,,,,,,,,,,,,
00:29.0,114.8973643,4.9782785,,,,,,,,,,,,,,,,,,
00:30.0,114.8973648,4.9782785,,,,,,,,,,,,,,,,,,
00:31.0,114.8973657,4.97827867,,,,,,,,,,,,,,,,,,
00:33.0,114.8973677,4.978279,,,,,,,,,,,,,,,,,,
