Time,Lon,Lat,,,,Position,Start Time,End Time,,Longitude,St.dev Lon,,Latitude,St.dev Lat
00:00.0,114.8973712,4.97836067,,,,1,0,1.59,,,,,,
00:01.0,114.897371,4.97835933,,,,2,3.59,6,,,,,,
00:02.0,114.897371,4.97835783,,,,3,8,10,,,,,,
00:04.0,114.8973703,4.97835583,,,,4,11.3,13.3,,,,,,
00:05.0,114.8973697,4.97835433,,,,5,16.41,18.4,,,,,,
00:06.0,114.89737,4.97835183,,,,6,20.3,22.3,,,,,,
00:08.0,114.8973708,4.9783475,,,,7,27.11,29.1,,,,,,
00:10.0,114.8973722,4.97834517,,,,8,30.4,32.4,,,,,,
00:12.0,114.8973732,4.97834283,,,,9,33.5,35.5,,,,,,
00:13.0,114.8973735,4.97834183,,,,10,37.15,39.14,,,,,,
00:14.0,114.8973733,4.97834067,,,,,,,,,,,,
00:16.0,114.897373,4.97833933,,,,,,,,,,,,
00:17.0,114.8973748,4.97833967,,,,,,,,,,,,
00:18.0,114.8973758,4.97834,,,,,,,,,,,,
00:19.0,114.8973765,4.9783395,,,,,,,,,,,,
00:20.0,114.8973768,4.97833833,,,,,,,,,,,,
00:22.0,114.8973795,4.97834,,,,,,,,,,,,
00:23.0,114.897381,4.97834017,,,,,,,,,,,,
00:24.0,114.8973817,4.9783395,,,,,,,,,,,,
00:25.0,114.8973812,4.9783375,,,,,,,,,,,,
00:26.0,114.8973808,4.97833467,,,,,,,,,,,,
00:28.0,114.8973833,4.97833233,,,,,,,,,,,,
00:29.0,114.8973847,4.97833283,,,,,,,,,,,,
00:30.0,114.8973855,4.97833167,,,,,,,,,,,,
00:31.0,114.897386,4.97833033,,,,,,,,,,,,
00:32.0,114.897387,4.9783295,,,,,,,,,,,,
00:34.0,114.8973887,4.97832833,,,,,,,,,,,,
00:35.0,114.8973893,4.9783275,,,,,,,,,,,,
00:36.0,114.8973898,4.978327,,,,,,,,,,,,
00:37.0,114.8973907,4.97832683,,,,,,,,,,,,
00:38.0,114.8973913,4.97832667,,,,,,,,,,,,
00:40.0,114.8973935,4.97832617,,,,,,,,,,,,
00:41.0,114.8973982,4.97832617,,,,,,,,,,,,
00:43.0,114.8974013,4.978325,,,,,,,,,,,,
00:44.0,114.8974028,4.9783255,,,,,,,,,,,,
00:46.0,114.8974047,4.97832617,,,,,,,,,,,,
00:47.0,114.8974055,4.97832633,,,,,,,,,,,,
00:48.0,114.897406,4.97832633,,,,,,,,,,,,
00:49.0,114.8974065,4.97832633,,,,,,,,,,,,
00:50.0,114.8974068,4.97832617,,,,,,,,,,,,
00:52.0,114.8974085,4.97832683,,,,,,,,,,,,
00:53.0,114.8974088,4.97832667,,,,,,,,,,,,
00:55.0,114.8974092,4.97832617,,,,,,,,,,,,
00:56.0,114.8974092,4.97832567,,,,,,,,,,,,
00:58.0,114.8974095,4.9783255,,,,,,,,,,,,
00:59.0,114.8974095,4.978325,,,,,,,,,,,,
01:01.0,114.8974092,4.9783245,,,,,,,,,,,,
01:02.0,114.8974088,4.97832433,,,,,,,,,,,,
01:04.0,114.897408,4.9783235,,,,,,,,,,,,
01:05.0,114.897407,4.9783225,,,,,,,,,,,,
01:07.0,114.8974065,4.97832233,,,,,,,,,,,,
01:08.0,114.8974063,4.97832217,,,,,,,,,,,,
01:10.0,114.8974057,4.97832167,,,,,,,,,,,,
01:11.0,114.8974052,4.97832133,,,,,,,,,,,,
01:12.0,114.8974052,4.97832167,,,,,,,,,,,,
01:13.0,114.8974045,4.97832083,,,,,,,,,,,,
01:14.0,114.8974038,4.97832017,,,,,,,,,,,,
01:16.0,114.8974025,4.9783185,,,,,,,,,,,,
01:17.0,114.8974017,4.97831767,,,,,,,,,,,,
01:19.0,114.8974,4.97831633,,,,,,,,,,,,
01:20.0,114.8973995,4.97831617,,,,,,,,,,,,
01:22.0,114.8973973,4.97831567,,,,,,,,,,,,
01:23.0,114.897396,4.9783155,,,,,,,,,,,,
01:25.0,114.8973942,4.978315,,,,,,,,,,,,
01:26.0,114.8973932,4.97831467,,,,,,,,,,,,
01:28.0,114.8973912,4.97831333,,,,,,,,,,,,
01:29.0,114.8973905,4.97831283,,,,,,,,,,,,
01:30.0,114.89739,4.9783125,,,,,,,,,,,,
01:31.0,114.8973895,4.97831217,,,,,,,,,,,,
01:32.0,114.8973892,4.97831183,,,,,,,,,,,,
01:34.0,114.8973887,4.97831183,,,,,,,,,,,,
01:35.0,114.8973887,4.978312,,,,,,,,,,,,
01:37.0,114.8973877,4.978311,,,,,,,,,,,,
01:38.0,114.8973873,4.9783105,,,,,,,,,,,,
01:40.0,114.8973863,4.978309,,,,,,,,,,,,
01:41.0,114.8973862,4.97830867,,,,,,,,,,,,
01:42.0,114.8973858,4.9783085,,,,,,,,,,,,
01:43.0,114.8973855,4.978308,,,,,,,,,,,,
01:44.0,114.897385,4.97830733,,,,,,,,,,,,
01:46.0,114.8973842,4.97830617,,,,,,,,,,,,
01:47.0,114.8973837,4.97830567,,,,,,,,,,,,
01:49.0,114.8973832,4.97830483,,,,,,,,,,,,
01:50.0,114.8973827,4.97830417,,,,,,,,,,,,
01:52.0,114.8973823,4.97830333,,,,,,,,,,,,
01:53.0,114.8973825,4.97830317,,,,,,,,,,,,
01:55.0,114.8973828,4.97830267,,,,,,,,,,,,
01:56.0,114.8973828,4.97830233,,,,,,,,,,,,
01:58.0,114.8973828,4.97830183,,,,,,,,,,,,
01:59.0,114.8973832,4.978302,,,,,,,,,,,,
02:01.0,114.8973835,4.97830183,,,,,,,,,,,,
02:02.0,114.8973835,4.9783015,,,,,,,,,,,,
02:04.0,114.8973833,4.978301,,,,,,,,,,,,
02:05.0,114.8973835,4.9783015,,,,,,,,,,,,
02:06.0,114.8973842,4.978301,,,,,,,,,,,,
02:07.0,114.8973852,4.97829833,,,,,,,,,,,,
02:08.0,114.8973888,4.9782955,,,,,,,,,,,,
02:10.0,114.897397,4.9782875,,,,,,,,,,,,
02:11.0,114.897404,4.9782825,,,,,,,,,,,,
02:12.0,114.8974117,4.97827733,,,,,,,,,,,,
02:13.0,114.8974203,4.97827217,,,,,,,,,,,,
02:14.0,114.8974278,4.97826667,,,,,,,,,,,,
02:16.0,114.8974438,4.97825783,,,,,,,,,,,,
02:17.0,114.8974528,4.9782525,,,,,,,,,,,,
02:18.0,114.897461,4.97824467,,,,,,,,,,,,
02:19.0,114.8974683,4.978237,,,,,,,,,,,,
02:20.0,114.8974773,4.97822833,,,,,,,,,,,,
02:22.0,114.8974967,4.97821367,,,,,,,,,,,,
02:23.0,114.8975063,4.97820783,,,,,,,,,,,,
02:24.0,114.8975147,4.97820217,,,,,,,,,,,,
02:25.0,114.8975217,4.97819633,,,,,,,,,,,,
02:26.0,114.8975262,4.9781945,,,,,,,,,,,,
02:28.0,114.8975427,4.97818667,,,,,,,,,,,,
02:29.0,114.8975525,4.97818317,,,,,,,,,,,,
02:30.0,114.897562,4.97818217,,,,,,,,,,,,
02:31.0,114.897573,4.978178,,,,,,,,,,,,
02:32.0,114.8975842,4.97817567,,,,,,,,,,,,
02:34.0,114.8976065,4.97817333,,,,,,,,,,,,
02:35.0,114.8976148,4.97817667,,,,,,,,,,,,
02:36.0,114.8976198,4.978179,,,,,,,,,,,,
02:38.0,114.8976278,4.978182,,,,,,,,,,,,
02:40.0,114.8976355,4.978185,,,,,,,,,,,,
02:42.0,114.8976412,4.978186,,,,,,,,,,,,
02:44.0,114.8976467,4.97818667,,,,,,,,,,,,
02:46.0,114.8976517,4.978188,,,,,,,,,,,,
02:48.0,114.897656,4.9781885,,,,,,,,,,,,
02:50.0,114.8976598,4.9781885,,,,,,,,,,,,
02:52.0,114.8976633,4.97818817,,,,,,,,,,,,
02:54.0,114.8976663,4.97818817,,,,,,,,,,,,
02:56.0,114.897669,4.97818817,,,,,,,,,,,,
02:58.0,114.8976717,4.978188,,,,,,,,,,,,
03:00.0,114.8976742,4.978188,,,,,,,,,,,,
03:02.0,114.8976763,4.97818717,,,,,,,,,,,,
03:04.0,114.8976783,4.97818667,,,,,,,,,,,,
03:06.0,114.8976802,4.97818617,,,,,,,,,,,,
03:08.0,114.8976817,4.97818617,,,,,,,,,,,,
03:10.0,114.897683,4.97818617,,,,,,,,,,,,
03:12.0,114.8976845,4.97818617,,,,,,,,,,,,
03:14.0,114.8976858,4.97818583,,,,,,,,,,,,
03:16.0,114.897687,4.9781855,,,,,,,,,,,,
03:18.0,114.8976882,4.97818517,,,,,,,,,,,,
03:20.0,114.897689,4.978185,,,,,,,,,,,,
03:22.0,114.8976898,4.97818467,,,,,,,,,,,,
03:24.0,114.8976908,4.97818417,,,,,,,,,,,,
03:26.0,114.8976915,4.97818333,,,,,,,,,,,,
03:28.0,114.8976923,4.97818233,,,,,,,,,,,,
03:30.0,114.8976932,4.97818167,,,,,,,,,,,,
03:32.0,114.8976938,4.978181,,,,,,,,,,,,
03:34.0,114.8976945,4.97818033,,,,,,,,,,,,
03:36.0,114.897695,4.97817967,,,,,,,,,,,,
03:38.0,114.8976957,4.978179,,,,,,,,,,,,
03:40.0,114.8976962,4.9781785,,,,,,,,,,,,
03:42.0,114.8976967,4.97817817,,,,,,,,,,,,
03:44.0,114.897697,4.97817783,,,,,,,,,,,,
03:46.0,114.8976975,4.97817733,,,,,,,,,,,,
03:48.0,114.8976978,4.97817683,,,,,,,,,,,,
03:50.0,114.8976982,4.97817633,,,,,,,,,,,,
03:52.0,114.8976985,4.97817567,,,,,,,,,,,,
03:54.0,114.897699,4.9781755,,,,,,,,,,,,
03:56.0,114.8976992,4.97817483,,,,,,,,,,,,
03:58.0,114.8976995,4.9781745,,,,,,,,,,,,
03:59.0,114.8976997,4.9781745,,,,,,,,,,,,
04:00.0,114.8976998,4.9781745,,,,,,,,,,,,
04:02.0,114.8977,4.9781745,,,,,,,,,,,,
04:04.0,114.8977005,4.97817417,,,,,,,,,,,,
04:05.0,114.8977007,4.97817417,,,,,,,,,,,,
04:07.0,114.897701,4.97817367,,,,,,,,,,,,
04:08.0,114.8977012,4.9781735,,,,,,,,,,,,
04:09.0,114.8977013,4.9781735,,,,,,,,,,,,
04:11.0,114.8977015,4.97817333,,,,,,,,,,,,
04:12.0,114.8977017,4.97817317,,,,,,,,,,,,
04:13.0,114.8977018,4.97817317,,,,,,,,,,,,
04:14.0,114.8977018,4.97817283,,,,,,,,,,,,
04:15.0,114.897702,4.97817283,,,,,,,,,,,,
04:17.0,114.8977022,4.9781725,,,,,,,,,,,,
04:18.0,114.8977023,4.97817233,,,,,,,,,,,,
04:19.0,114.8977025,4.97817217,,,,,,,,,,,,
04:20.0,114.8977025,4.97817183,,,,,,,,,,,,
04:22.0,114.8977027,4.97817133,,,,,,,,,,,,
04:23.0,114.8977028,4.97817083,,,,,,,,,,,,
04:25.0,114.897703,4.9781705,,,,,,,,,,,,
04:26.0,114.897703,4.9781705,,,,,,,,,,,,
