Time,Lon,Lat,,,,,UTC
00:00.0,114.8973653,4.97847017,,,,,11:45.0
00:02.0,114.8973632,4.97846533,,,,,11:47.0
00:04.0,114.8973603,4.97845983,,,,,11:49.0
00:06.0,114.8973578,4.97845433,,,,,11:51.0
00:08.0,114.8973552,4.97844917,,,,,11:53.0
00:10.0,114.8973533,4.97844483,,,,,11:55.0
00:12.0,114.897352,4.97844017,,,,,11:57.0
00:14.0,114.8973505,4.97843483,,,,,11:59.0
00:16.0,114.8973487,4.97843,,,,,12:01.0
00:18.0,114.8973477,4.978427,,,,,12:03.0
00:19.0,114.8973475,4.97842533,,,,,12:04.0
00:20.0,114.8973468,4.9784235,,,,,12:05.0
00:22.0,114.897346,4.97841983,,,,,12:07.0
00:24.0,114.8973457,4.97841667,,,,,12:09.0
00:26.0,114.897345,4.97841383,,,,,12:11.0
00:28.0,114.8973435,4.97841033,,,,,12:13.0
00:30.0,114.8973413,4.97840733,,,,,12:15.0
00:32.0,114.8973387,4.9784045,,,,,12:17.0
00:34.0,114.897337,4.978402,,,,,12:19.0
00:35.0,114.8973362,4.97840083,,,,,12:20.0
00:36.0,114.8973352,4.97839967,,,,,12:21.0
00:37.0,114.8973343,4.9783985,,,,,12:22.0
00:38.0,114.8973337,4.9783975,,,,,12:23.0
00:40.0,114.8973318,4.97839533,,,,,12:25.0
00:41.0,114.8973305,4.97839333,,,,,12:26.0
00:42.0,114.8973288,4.978391,,,,,12:27.0
00:43.0,114.8973268,4.97838867,,,,,12:28.0
00:44.0,114.8973253,4.97838667,,,,,12:29.0
00:46.0,114.8973232,4.97838317,,,,,12:31.0
00:47.0,114.897322,4.9783815,,,,,12:32.0
00:48.0,114.897321,4.97838017,,,,,12:33.0
00:49.0,114.8973197,4.97837883,,,,,12:34.0
00:50.0,114.8973185,4.9783775,,,,,12:35.0
00:52.0,114.8973163,4.97837483,,,,,12:37.0
00:54.0,114.8973152,4.97837283,,,,,12:39.0
00:56.0,114.8973147,4.97837083,,,,,12:41.0
00:58.0,114.8973142,4.97836917,,,,,12:43.0
01:00.0,114.8973138,4.97836783,,,,,12:45.0
01:02.0,114.8973137,4.97836633,,,,,12:47.0
01:04.0,114.8973133,4.97836483,,,,,12:49.0
01:06.0,114.8973128,4.97836333,,,,,12:51.0
01:08.0,114.8973125,4.978362,,,,,12:53.0
01:10.0,114.8973122,4.9783605,,,,,12:55.0
01:12.0,114.8973123,4.97835967,,,,,12:57.0
01:14.0,114.8973127,4.978359,,,,,12:59.0
01:16.0,114.897313,4.97835783,,,,,13:01.0
01:18.0,114.8973138,4.97835633,,,,,13:03.0
01:20.0,114.8973147,4.97835517,,,,,13:05.0
01:22.0,114.8973142,4.97835383,,,,,13:07.0
01:24.0,114.8973132,4.978352,,,,,13:09.0
01:26.0,114.897313,4.9783505,,,,,13:11.0
01:28.0,114.8973118,4.97834867,,,,,13:13.0
01:30.0,114.8973105,4.97834667,,,,,13:15.0
01:32.0,114.8973108,4.9783455,,,,,13:17.0
01:34.0,114.8973103,4.97834433,,,,,13:19.0
01:36.0,114.8973098,4.97834317,,,,,13:21.0
01:37.0,114.8973092,4.9783425,,,,,13:22.0
01:38.0,114.8973083,4.97834167,,,,,13:23.0
01:40.0,114.897308,4.978341,,,,,13:25.0
01:42.0,114.8973078,4.97834033,,,,,13:27.0
01:44.0,114.8973082,4.97833983,,,,,13:29.0
01:46.0,114.8973077,4.9783395,,,,,13:31.0
01:48.0,114.8973077,4.97833917,,,,,13:33.0
01:50.0,114.8973065,4.9783385,,,,,13:35.0
01:52.0,114.8973058,4.978338,,,,,13:37.0
01:54.0,114.8973043,4.97833733,,,,,13:39.0
01:56.0,114.897304,4.97833717,,,,,13:41.0
01:58.0,114.897304,4.97833733,,,,,13:43.0
02:00.0,114.8973038,4.97833733,,,,,13:45.0
02:02.0,114.8973037,4.978337,,,,,13:47.0
02:04.0,114.897304,4.97833683,,,,,13:49.0
02:06.0,114.897304,4.9783365,,,,,13:51.0
02:08.0,114.8973045,4.97833583,,,,,13:53.0
02:10.0,114.8973058,4.97833467,,,,,13:55.0
02:12.0,114.8973097,4.97832933,,,,,13:57.0
02:14.0,114.8973215,4.97832017,,,,,13:59.0
02:16.0,114.8973337,4.97831167,,,,,14:01.0
02:18.0,114.8973448,4.97830567,,,,,14:03.0
02:20.0,114.8973548,4.97829833,,,,,14:05.0
02:22.0,114.8973762,4.97828933,,,,,14:07.0
02:24.0,114.8973967,4.97827583,,,,,14:09.0
02:25.0,114.8974072,4.97826817,,,,,14:10.0
02:26.0,114.8974155,4.97825933,,,,,14:11.0
02:27.0,114.8974232,4.9782505,,,,,14:12.0
02:28.0,114.8974322,4.9782425,,,,,14:13.0
02:29.0,114.8974432,4.97823517,,,,,14:14.0
02:30.0,114.8974532,4.97822933,,,,,14:15.0
02:31.0,114.8974657,4.97822283,,,,,14:16.0
02:32.0,114.8974755,4.97821567,,,,,14:17.0
02:33.0,114.8974845,4.97820783,,,,,14:18.0
02:34.0,114.897493,4.9781995,,,,,14:19.0
02:35.0,114.8975015,4.9781915,,,,,14:20.0
02:36.0,114.897511,4.97818333,,,,,14:21.0
02:37.0,114.8975218,4.97817633,,,,,14:22.0
02:38.0,114.8975328,4.97816883,,,,,14:23.0
02:39.0,114.8975433,4.97816233,,,,,14:24.0
02:40.0,114.8975555,4.97815783,,,,,14:25.0
02:41.0,114.8975687,4.978154,,,,,14:26.0
02:42.0,114.8975785,4.978154,,,,,14:27.0
02:43.0,114.8975858,4.97815767,,,,,14:28.0
02:44.0,114.8975903,4.97815817,,,,,14:29.0
02:45.0,114.8975938,4.97815683,,,,,14:30.0
02:46.0,114.8975957,4.97815483,,,,,14:31.0
02:47.0,114.8975983,4.97815367,,,,,14:32.0
02:48.0,114.8976008,4.9781525,,,,,14:33.0
02:49.0,114.897603,4.97815117,,,,,14:34.0
02:50.0,114.8976055,4.97814983,,,,,14:35.0
02:51.0,114.8976077,4.9781485,,,,,14:36.0
02:52.0,114.89761,4.97814767,,,,,14:37.0
02:54.0,114.8976138,4.97814583,,,,,14:39.0
02:56.0,114.8976173,4.97814383,,,,,14:41.0
02:58.0,114.8976208,4.978143,,,,,14:43.0
03:00.0,114.8976238,4.97814183,,,,,14:45.0
03:02.0,114.8976265,4.9781405,,,,,14:47.0
03:04.0,114.8976293,4.97814,,,,,14:49.0
03:06.0,114.8976315,4.978139,,,,,14:51.0
03:08.0,114.897634,4.97813833,,,,,14:53.0
03:10.0,114.8976367,4.9781385,,,,,14:55.0
03:12.0,114.8976397,4.97813883,,,,,14:57.0
03:14.0,114.8976423,4.9781395,,,,,14:59.0
03:16.0,114.8976447,4.97813967,,,,,15:01.0
03:18.0,114.897647,4.97814,,,,,15:03.0
03:20.0,114.8976488,4.9781395,,,,,15:05.0
03:22.0,114.8976505,4.978139,,,,,15:07.0
03:24.0,114.8976522,4.978139,,,,,15:09.0
03:26.0,114.8976535,4.9781385,,,,,15:11.0
03:28.0,114.897655,4.97813883,,,,,15:13.0
03:30.0,114.8976565,4.9781385,,,,,15:15.0
03:32.0,114.8976577,4.9781385,,,,,15:17.0
03:34.0,114.897659,4.9781385,,,,,15:19.0
03:36.0,114.89766,4.97813783,,,,,15:21.0
03:38.0,114.8976608,4.97813733,,,,,15:23.0
03:40.0,114.8976618,4.97813717,,,,,15:25.0
03:42.0,114.8976627,4.97813683,,,,,15:27.0
03:44.0,114.8976635,4.9781365,,,,,15:29.0
03:46.0,114.897664,4.978136,,,,,15:31.0
03:48.0,114.8976648,4.97813567,,,,,15:33.0
03:50.0,114.8976657,4.97813517,,,,,15:35.0
03:52.0,114.8976662,4.97813467,,,,,15:37.0
03:54.0,114.8976667,4.97813383,,,,,15:39.0
03:56.0,114.8976673,4.978133,,,,,15:41.0
03:58.0,114.897668,4.97813283,,,,,15:43.0
04:00.0,114.8976688,4.97813283,,,,,15:45.0
04:02.0,114.8976697,4.97813283,,,,,15:47.0
04:04.0,114.8976703,4.97813233,,,,,15:49.0
04:06.0,114.897671,4.9781315,,,,,15:51.0
04:08.0,114.8976717,4.97813117,,,,,15:53.0
04:10.0,114.8976723,4.978131,,,,,15:55.0
04:12.0,114.897673,4.97813083,,,,,15:57.0
04:14.0,114.8976735,4.9781305,,,,,15:59.0
